tour,player,display_name,rank,name_match,rank_strength,overall_elo,overall_elo_pct,grass_elo,grass_elo_pct,recent_wins,recent_losses,recent_form,grass_wins_3y,grass_losses_3y,grass_form,wimbledon_wins_6y,wimbledon_losses_6y,wimbledon_form,form_30d,form_90d,form_180d,form_365d,rolling_form_5,rolling_form_10,grass_form_90d,grass_form_365d,form_trend_delta,grass_trend_delta,trend_bucket,model_score,quarterfinal_probability,hybrid_score
ATP,Sinner J.,"SINNER, Jannik (ITA)",1,exact,1.0,2218.556690429595,1.0,1786.1777281834675,0.990990990990991,74,4,0.9166666666666666,21,3,0.8,19,4,0.7586206896551724,0.5,0.8571428571428571,0.8666666666666667,0.9166666666666666,0.7142857142857143,0.7666666666666667,0.5,0.75,-0.059523809523809534,-0.25,slipping,0.9262057426885013,0.9476557062022064,0.9401482189724095
ATP,Djokovic N.,"DJOKOVIC, Novak (SRB)",3,exact,0.7735767856112634,1984.861549436174,0.990990990990991,2019.0586521050154,1.0,26,7,0.7435897435897436,16,3,0.76,30,3,0.8461538461538461,0.5555555555555556,0.5,0.6111111111111112,0.7435897435897436,0.42857142857142855,0.5666666666666667,0.5,0.6666666666666666,-0.2435897435897436,-0.16666666666666663,cooling,0.8150096333810111,0.6628966521330376,0.7161361955698283
ATP,Zverev A.,"ZVEREV, Alexander (GER)",2,exact,0.8571428571428572,1947.3074345080013,0.9819819819819819,1698.0909819040644,0.9459459459459459,55,19,0.725,17,8,0.6451612903225806,8,4,0.6111111111111112,0.7647058823529411,0.7567567567567568,0.7692307692307693,0.725,0.7142857142857143,0.7666666666666667,0.6,0.5454545454545454,0.03175675675675682,0.054545454545454564,improving,0.825714396424074,0.5726415373821683,0.6612170380468353
ATP,Fritz T.,"FRITZ, Taylor (USA)",7,exact,0.5989492968489136,1816.7972770148817,0.9369369369369369,1773.665679779284,0.9819819819819819,46,20,0.6805555555555556,30,8,0.75,15,5,0.6923076923076923,0.625,0.5882352941176471,0.6363636363636364,0.6805555555555556,0.7142857142857143,0.6333333333333333,0.6666666666666666,0.75,-0.0923202614379085,-0.08333333333333337,cooling,0.73764774530756,0.4073700122789903,0.5229672188389897
ATP,Shelton B.,"SHELTON, Ben (USA)",5,exact,0.6682959864446625,1795.8733467737188,0.9099099099099099,1639.0692040402407,0.8738738738738738,45,20,0.676056338028169,17,11,0.5882352941176471,8,3,0.6470588235294118,0.6666666666666666,0.6538461538461539,0.6829268292682927,0.676056338028169,0.7142857142857143,0.6333333333333333,0.6923076923076923,0.6842105263157895,-0.022210184182015147,0.0080971659919028,slipping,0.7275398319572298,0.36784612690013746,0.4937389236701198
ATP,Medvedev D.,"MEDVEDEV, Daniil",6,exact,0.6307196427541205,1825.6663870430496,0.9459459459459459,1695.5875719929686,0.9369369369369369,46,20,0.6805555555555556,18,8,0.65625,11,4,0.6666666666666666,0.5384615384615384,0.5714285714285714,0.6888888888888889,0.6805555555555556,0.5714285714285714,0.5666666666666667,0.5833333333333334,0.5384615384615384,-0.10912698412698418,0.044871794871794934,cooling,0.7305540951504728,0.3674634100396878,0.49454514982846254
ATP,Fils A.,"FILS, Arthur (FRA)",16,exact,0.4285714285714286,1884.8540460852612,0.972972972972973,1524.3787131240588,0.6126126126126126,22,7,0.7142857142857143,5,4,0.5333333333333333,2,2,0.5,0.5,0.7222222222222222,0.7272727272727273,0.7142857142857143,0.7142857142857143,0.7666666666666667,0.5,0.5,0.007936507936507908,0.0,stable,0.6074697554697556,0.2904504018492748,0.40140717561644307
ATP,De Minaur A.,"DE MINAUR, Alex (AUS)",8,exact,0.5714285714285714,1790.3048973796808,0.9009009009009009,1698.3854558310284,0.954954954954955,46,23,0.6533333333333333,17,7,0.6666666666666666,10,4,0.65,0.6,0.5769230769230769,0.625,0.6533333333333333,0.5714285714285714,0.5666666666666667,0.6153846153846154,0.6470588235294118,-0.07641025641025645,-0.03167420814479638,slipping,0.7033865557865558,0.2899835295344622,0.434674588722695
ATP,Rublev A.,"RUBLEV, Andrey",11,exact,0.5057954830518145,1736.4927354018746,0.8288288288288288,1630.02352045005,0.8558558558558559,36,23,0.6,9,7,0.5454545454545454,10,4,0.65,0.5454545454545454,0.6086956521739131,0.6153846153846154,0.6,0.5714285714285714,0.5666666666666667,0.42857142857142855,0.5454545454545454,0.008695652173913104,-0.11688311688311687,stable,0.6422747773780625,0.2410164676708221,0.3814568760683562
ATP,Paul T.,"PAUL, Tommy (USA)",23,exact,0.3537768634204267,1813.671863336841,0.9279279279279279,1670.8197407540217,0.9009009009009009,32,16,0.6481481481481481,21,8,0.6857142857142857,10,4,0.65,0.6428571428571429,0.6666666666666666,0.6739130434782609,0.6481481481481481,0.7142857142857143,0.6333333333333333,0.6363636363636364,0.5714285714285714,0.01851851851851849,0.06493506493506496,stable,0.6362069683893443,0.23542339685491814,0.3756976468919673
ATP,Auger-Aliassime F.,"AUGER-ALIASSIME, Felix (CAN)",4,exact,0.7142857142857143,1809.1022783585656,0.918918918918919,1603.1785456911566,0.8108108108108109,50,20,0.6973684210526315,9,8,0.5217391304347826,4,5,0.4666666666666667,0.625,0.5652173913043478,0.6585365853658537,0.6973684210526315,0.5714285714285714,0.6333333333333333,0.5454545454545454,0.5625,-0.13215102974828374,-0.017045454545454586,cooling,0.7087262987079921,0.23006904617747068,0.3975990845631532
ATP,Tiafoe F.,"TIAFOE, Frances (USA)",18,exact,0.40429642836538393,1781.7591528700314,0.8918918918918919,1666.0636535569515,0.8918918918918919,38,18,0.6612903225806451,13,6,0.64,10,5,0.6190476190476191,0.7222222222222222,0.6538461538461539,0.6808510638297872,0.6612903225806451,0.8571428571428571,0.7,0.7142857142857143,0.6875,-0.007444168734491274,0.0267857142857143,stable,0.6427806452266264,0.2255111071582259,0.37155544548216607
ATP,Cobolli F.,"COBOLLI, Flavio (ITA)",10,exact,0.5254388435875196,1732.8261924118735,0.8198198198198198,1561.5927226257263,0.6936936936936937,35,24,0.5846153846153846,9,8,0.5217391304347826,5,2,0.6153846153846154,0.6153846153846154,0.6296296296296297,0.6097560975609756,0.5846153846153846,0.5714285714285714,0.5666666666666667,0.42857142857142855,0.5384615384615384,0.045014245014245,-0.10989010989010989,improving,0.6154010109118131,0.20380227123461198,0.34786183012163235
