tour,draw_position,section,seed,entry_status,player,country,first_round_opponent,source
ATP,1,1,,,Jannik SINNER,,Miomir KECMANOVIC,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,2,1,,,Miomir KECMANOVIC,,Jannik SINNER,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,3,1,,,Nuno BORGES,,Tristan BOYER,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,4,1,,,Tristan BOYER,,Nuno BORGES,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,5,1,,,Aleksandar VUKIC,,Jenson BROOKSBY,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,6,1,,,Jenson BROOKSBY,,Aleksandar VUKIC,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,7,1,,,Emilio NAVA,,Ignacio BUSE,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,8,1,,,Ignacio BUSE,,Emilio NAVA,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,9,1,,,Rafael JODAR,,Felix GILL,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,10,1,,,Felix GILL,,Rafael JODAR,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,11,1,,,Denis SHAPOVALOV,,Pablo CARRENO BUSTA,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,12,1,,,Pablo CARRENO BUSTA,,Denis SHAPOVALOV,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,13,1,,,Shintaro MOCHIZUKI,,Max BASING,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,14,1,,,Max BASING,,Shintaro MOCHIZUKI,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,15,1,,,Ethan QUINN,,Luciano DARDERI,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,16,1,,,Luciano DARDERI,,Ethan QUINN,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,17,2,,,Casper RUUD,,Hubert HURKACZ,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,18,2,,,Hubert HURKACZ,,Casper RUUD,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,19,2,,,Hamad MEDJEDOVIC,,Sebastian OFNER,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,20,2,,,Sebastian OFNER,,Hamad MEDJEDOVIC,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,21,2,,,Soonwoo KWON,,Martin LANDALUCE,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,22,2,,,Martin LANDALUCE,,Soonwoo KWON,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,23,2,,,Alexandre MULLER,,Tommy PAUL,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,24,2,,,Tommy PAUL,,Alexandre MULLER,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,25,2,,,Brandon NAKASHIMA,,Jack PINNINGTON JONES,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,26,2,,,Jack PINNINGTON JONES,,Brandon NAKASHIMA,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,27,2,,,Jan STRUFF,,Sebastian BAEZ,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,28,2,,,Sebastian BAEZ,,Jan STRUFF,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,29,2,,,Camilo UGO CARABELLI,,Daniel MERIDA,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,30,2,,,Daniel MERIDA,,Camilo UGO CARABELLI,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,31,2,,,Marin CILIC,,Daniil MEDVEDEV,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,32,2,,,Daniil MEDVEDEV,,Marin CILIC,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,33,3,,,Felix AUGER-ALIASSIME,,Aleksandr SHEVCHENKO,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,34,3,,,Aleksandr SHEVCHENKO,,Felix AUGER-ALIASSIME,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,35,3,,,Adam WALTON,,Dino PRIZMIC,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,36,3,,,Dino PRIZMIC,,Adam WALTON,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,37,3,,,Adolfo VALLEJO,,Nicolas MEJIA,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,38,3,,,Nicolas MEJIA,,Adolfo VALLEJO,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
ATP,39,3,,,Michael ZHENG,,Cameron NORRIE,tennis_data_consolidated (2).xlsx:ATP_2026_Draw
