tour,section,draw_position,player,entry_rank,seed,qf_probability,sf_probability,final_probability,title_probability,rating,rating_source,workbook_elo,workbook_grass_elo,workbook_rank,last_match_date,inactivity_penalty
ATP,1,1,"SINNER, Jannik (ITA)",1,,0.68305,0.5766,0.47235,0.3809,2016.03,workbook_elo,2319.8,2088.3,1,2026-05-28,0.0
ATP,1,9,"JODAR, Rafael (ESP)",26,,0.10375,0.05115,0.02455,0.0117,1716.85,workbook_elo,1998.6,1699.3,26,2026-06-02,0.0
ATP,1,16,"DARDERI, Luciano (ITA)",16,,0.0411,0.0163,0.00565,0.00245,1644.18,workbook_elo,1839.2,1620.7,16,2026-05-28,0.0
ATP,1,15,"QUINN, Ethan (USA)",63,,0.0305,0.01145,0.0044,0.00185,1624.73,workbook_elo,1775.5,1656.4,63,2026-06-18,0.0
ATP,1,11,"SHAPOVALOV, Denis (CAN)",41,,0.02575,0.00895,0.00295,0.00085,1626.34,workbook_elo,1771.7,1636.5,41,2026-06-17,0.0
ATP,1,8,"BUSE, Ignacio (PER)",34,,0.02455,0.0081,0.0029,0.0009,1628.87,workbook_elo,1826.1,1622.7,34,2026-06-17,0.0
ATP,1,3,"BORGES, Nuno (POR)",53,,0.0201,0.00615,0.00215,0.0006,1593.44,workbook_elo,1745.7,1603.3,53,2026-06-15,0.0
ATP,1,6,"BROOKSBY, Jenson (USA)",67,,0.01835,0.0069,0.0022,0.00055,1594.91,workbook_elo,1690.9,1629.4,67,2026-06-17,0.0
ATP,1,12,"CARRENO BUSTA, Pablo (ESP)",71,,0.01605,0.005,0.0018,0.00045,1600.34,workbook_elo,1800.5,1598,71,,0.0
ATP,1,2,"KECMANOVIC, Miomir (SRB)",51,,0.0136,0.00465,0.0017,0.0006,1611.76,workbook_elo,1766.2,1625.9,51,2026-06-16,0.0
ATP,1,7,"NAVA, Emilio (USA)",87,,0.01,0.00275,0.00085,0.00035,1565.20,workbook_elo,1700.2,1573.9,87,2026-05-25,0.0
ATP,1,5,"VUKIC, Aleksandar (AUS)",103,,0.00765,0.0023,0.00055,5e-05,1547.62,workbook_elo,1623.5,1578.6,103,2026-05-25,0.0
ATP,1,13,Shintaro MOCHIZUKI,150,,0.0038,0.0005,0.0001,0.0,1459.64,workbook_elo,1485.4,1524.9,150,2026-02-17,35.0
ATP,1,14,Max BASING,999,,0.00085,0.00015,5e-05,0.0,1369.00,local_elo,,,,,80.0
ATP,1,4,Tristan BOYER,193,,0.00045,0.0001,0.0,0.0,1386.28,workbook_elo,1561,1423.1,193,2025-08-28,80.0
ATP,1,10,"GILL, Felix (GBR)",220,,0.00045,0.0,0.0,0.0,1361.22,workbook_elo,1490.4,1408.3,220,,80.0
ATP,2,32,"MEDVEDEV, Daniil",9,,0.25435,0.0941,0.05335,0.03055,1798.66,workbook_elo,1977.4,1855.1,9,2026-06-19,0.0
ATP,2,24,"PAUL, Tommy (USA)",24,,0.1994,0.0685,0.0352,0.0195,1755.92,workbook_elo,1948.5,1800.8,24,2026-06-21,0.0
ATP,2,25,"NAKASHIMA, Brandon (USA)",31,,0.11725,0.03355,0.01515,0.00645,1698.38,workbook_elo,1839,1756.7,31,2026-06-20,0.0
ATP,2,17,"RUUD, Casper (NOR)",12,,0.11185,0.03345,0.0162,0.0075,1722.04,workbook_elo,1983.1,1714.8,12,2026-05-31,0.0
ATP,2,31,"CILIC, Marin (CRO)",60,,0.0694,0.01895,0.00795,0.00245,1686.72,workbook_elo,1800.4,1756.3,60,2026-06-16,0.0
ATP,2,19,"MEDJEDOVIC, Hamad (SRB)",64,,0.0472,0.01035,0.0039,0.0014,1645.46,workbook_elo,1840.5,1662.2,64,2026-06-19,0.0
ATP,2,22,"LANDALUCE, Martin (ESP)",58,,0.04585,0.00995,0.0034,0.0014,1624.21,workbook_elo,1742.5,1661.9,58,2026-06-15,0.0
ATP,2,18,"HURKACZ, Hubert (POL)",95,,0.0455,0.0109,0.00405,0.0013,1653.15,workbook_elo,1798.2,1699.9,95,2026-06-17,0.0
ATP,2,27,"STRUFF, Jan-Lennard (GER)",77,,0.02555,0.00485,0.0015,0.0003,1589.21,workbook_elo,1691.5,1623.1,77,,0.0
ATP,2,20,"OFNER, Sebastian (AUT)",111,,0.0194,0.00325,0.00095,0.00025,1585.98,workbook_elo,1713.1,1635.2,111,2026-05-26,0.0
ATP,2,28,"BAEZ, Sebastian (ARG)",56,,0.01875,0.00365,0.00135,0.00045,1568.56,workbook_elo,1759.5,1546.2,56,2026-05-18,0.0
ATP,2,29,"UGO CARABELLI, Camilo (ARG)",57,,0.016,0.00245,0.00075,0.00015,1546.01,workbook_elo,1759.2,1496.2,57,,0.0
ATP,2,23,"MULLER, Alexandre (FRA)",125,,0.00865,0.0015,0.0006,0.00025,1526.43,workbook_elo,1664.5,1516.3,125,2026-05-06,0.0
ATP,2,26,"PINNINGTON JONES, Jack (GBR)",145,,0.00815,0.0011,0.00045,0.0001,1517.22,workbook_elo,1560.7,1545.1,145,,0.0
ATP,2,30,"MERIDA, Daniel (ESP)",79,,0.0064,0.0011,0.00015,5e-05,1493.74,local_elo,,,,,0.0
ATP,2,21,Soonwoo KWON,202,,0.0063,0.0013,0.0003,0.0,1506.73,workbook_elo,1744.9,1589.2,202,,80.0
ATP,3,33,"AUGER-ALIASSIME, Felix (CAN)",4,,0.2541,0.1292,0.04455,0.02225,1759.57,workbook_elo,1957.9,1789.1,4,2026-06-19,0.0
ATP,3,48,"TIEN, Learner (USA)",18,,0.15835,0.0725,0.02085,0.00925,1709.98,workbook_elo,1941.1,1711.3,18,2026-06-17,0.0
ATP,3,40,"NORRIE, Cameron (GBR)",29,,0.1295,0.05405,0.01455,0.00595,1686.27,workbook_elo,1828.8,1719.3,29,2026-06-16,0.0
ATP,3,41,"DAVIDOVICH FOKINA, Alejandro (ESP)",25,,0.12485,0.05225,0.01325,0.00535,1690.41,workbook_elo,1862.7,1716.7,25,,0.0
ATP,3,46,"FUCSOVICS, Marton (HUN)",76,,0.06895,0.02555,0.00595,0.0027,1642.41,workbook_elo,1755.6,1694.7,76,2026-06-16,0.0
ATP,3,37,"VALLEJO, Adolfo Daniel (PAR)",73,,0.06695,0.02255,0.0049,0.0018,1607.66,workbook_elo,1754.6,1627.3,73,,0.0
ATP,3,36,"PRIZMIC, Dino (CRO)",81,,0.0531,0.01905,0.00455,0.00155,1620.18,workbook_elo,1840.7,1599.6,81,2026-05-27,0.0
ATP,3,44,"MAROZSAN, Fabian (HUN)",62,,0.0332,0.0098,0.00145,0.0005,1586.61,workbook_elo,1751.5,1585.2,62,2026-06-18,0.0
ATP,3,43,"TIRANTE, Thiago Agustin (ARG)",54,,0.0299,0.00935,0.0015,0.00055,1583.35,workbook_elo,1748.6,1562.8,54,,0.0
ATP,3,45,"VAN ASSCHE, Luca (FRA)",82,,0.0184,0.00495,0.0012,0.00045,1555.98,workbook_elo,1700.7,1555.2,82,,0.0
ATP,3,42,"CERUNDOLO, Juan Manuel (ARG)",45,,0.0183,0.00455,0.001,0.00015,1559.53,workbook_elo,1778.7,1506.7,45,,0.0
ATP,3,35,"WALTON, Adam (AUS)",92,,0.01315,0.00265,0.00035,0.0001,1526.54,workbook_elo,1691.8,1497.8,92,2026-05-28,0.0
ATP,3,39,Michael ZHENG,143,,0.01115,0.00275,0.00045,0.0001,1519.19,workbook_elo,1645.5,1489.9,143,2026-05-24,0.0
ATP,3,47,"SVRCINA, Dalibor (CZE)",113,,0.0102,0.00255,0.0004,0.0002,1515.40,workbook_elo,1647.8,1492.9,113,2026-05-07,0.0
ATP,3,34,"SHEVCHENKO, Aleksandr (KAZ)",98,,0.00885,0.0022,0.0002,5e-05,1519.98,workbook_elo,1689.3,1487.4,98,2026-05-25,0.0
ATP,3,38,Nicolas MEJIA,168,,0.00105,0.00025,5e-05,0.0,1377.31,workbook_elo,1482.5,1445,168,2025-07-16,80.0
ATP,4,64,"DJOKOVIC, Novak (SRB)",8,,0.42185,0.3111,0.1463,0.0937,1865.32,workbook_elo,2059.3,1924.9,8,2026-05-29,0.0
ATP,4,49,"RUBLEV, Andrey",13,,0.14935,0.08705,0.0293,0.01395,1739.52,workbook_elo,1902.2,1784.4,13,2026-06-16,0.0
ATP,4,56,"FONSECA, Joao (BRA)",27,,0.08795,0.0442,0.01085,0.0044,1689.68,workbook_elo,1927.6,1686.1,27,2026-06-16,0.0
ATP,4,57,"RINDERKNECH, Arthur (FRA)",28,,0.0675,0.0298,0.0069,0.00185,1629.55,workbook_elo,1779.9,1644.9,28,2026-06-16,0.0
ATP,4,62,"TSITSIPAS, Stefanos (GRE)",88,,0.0592,0.0289,0.00705,0.00305,1660.29,workbook_elo,1842.7,1695.4,88,2026-05-28,0.0
ATP,4,54,"HIJIKATA, Rinky (AUS)",83,,0.04535,0.01915,0.0043,0.0015,1625.28,workbook_elo,1747.2,1681.6,83,2026-06-19,0.0
ATP,4,60,"DAMM, Martin (USA)",105,,0.0413,0.01685,0.00375,0.0014,1611.78,workbook_elo,1719.3,1666.7,105,2026-06-16,0.0
ATP,4,52,"VAN DE ZANDSCHULP, Botic (NED)",52,,0.03205,0.0138,0.00245,0.0009,1597.99,workbook_elo,1743.5,1595.4,52,,0.0
ATP,4,55,"BAUTISTA AGUT, Roberto (ESP)",163,,0.02445,0.0096,0.0018,0.00065,1605.67,workbook_elo,1700.2,1661.8,163,,0.0
ATP,4,50,Roman SAFIULLIN,127,,0.0226,0.00885,0.0016,0.00055,1599.10,workbook_elo,1732,1617.9,127,2026-06-09,0.0
ATP,4,63,"WU, Yibing (CHN)",99,,0.01225,0.0047,0.00105,0.00035,1574.98,workbook_elo,1763.2,1556.3,99,2026-06-10,0.0
ATP,4,53,"DE JONG, Jesper (NED)",74,,0.0118,0.0044,0.001,0.0004,1551.34,workbook_elo,1707,1534.5,74,,0.0
ATP,4,59,"TRUNGELLITI, Marco (ARG)",94,,0.0089,0.00235,0.0002,0.00015,1513.94,workbook_elo,1644.7,1490.2,94,2026-05-27,0.0
ATP,4,61,Hugo GASTON,117,,0.0072,0.0024,0.00025,0.0,1522.64,workbook_elo,1621,1508.6,117,2026-05-28,0.0
ATP,4,51,"KOVACEVIC, Aleksandar (USA)",70,,0.00715,0.00235,0.0005,0.0001,1508.50,workbook_elo,1645.3,1490.5,70,2026-06-16,0.0
ATP,4,58,Oliver TARVET,349,,0.0011,0.0003,5e-05,0.0,1403.12,workbook_elo,1488.9,1504.2,349,2025-07-02,80.0
ATP,5,65,"DE MINAUR, Alex (AUS)",6,,0.2477,0.14835,0.08115,0.03105,1781.15,workbook_elo,1961,1833.9,6,,0.0
ATP,5,80,"COBOLLI, Flavio (ITA)",10,,0.13285,0.0657,0.0313,0.0095,1717.56,workbook_elo,1896.3,1742.2,10,2026-06-15,0.0
ATP,5,73,"KHACHANOV, Karen",22,,0.13175,0.06075,0.0255,0.00745,1690.72,workbook_elo,1828.1,1724.8,22,2026-06-16,0.0
ATP,5,71,"MAJCHRZAK, Kamil (POL)",46,,0.07875,0.03595,0.01505,0.0044,1683.52,workbook_elo,1801.5,1757.1,46,2026-06-16,0.0
ATP,5,77,"GRIEKSPOOR, Tallon (NED)",39,,0.06865,0.02935,0.01185,0.00305,1658.01,workbook_elo,1789.5,1720.8,39,2026-06-16,0.0
ATP,5,72,"TABILO, Alejandro (CHI)",33,,0.0653,0.0283,0.01115,0.0023,1668.72,workbook_elo,1832.2,1697.3,33,2026-06-16,0.0
ATP,5,75,"HANFMANN, Yannick (GER)",55,,0.0404,0.0145,0.00445,0.001,1622.31,workbook_elo,1780.6,1644.6,55,2026-06-18,0.0
